id,text,label
1,"  We show results based on a large suite of N-Body/SPH simulations of isolated,
flat dwarf galaxies, both rotating and non-rotating. The main goal is to
investigate possible mechanisms to explain the observed dichotomy in radial
stellar metallicity profiles of dwarf galaxies: dwarf irregulars (dIrr) and
flat, rotating dwarf ellipticals (dE) generally possess flat metallicity
profiles, while rounder and non-rotating dEs show strong negative metallicity
gradients. These simulations show that flattening by rotation is key to
reproducing the observed characteristics of flat dwarf galaxies, proving
particularly efficient in erasing metallicity gradients. We propose a
""centrifugal barrier mechanism"" as an alternative to the previously suggested
""fountain mechanism"" for explaining the flat metallicity profiles of dIrrs and
flat, rotating dEs. While only flattening the dark-matter halo has little
influence, the addition of angular momentum slows down the infall of gas, so
that star formation (SF) and the ensuing feedback are less centrally
concentrated, occurring galaxy-wide. Additionally, this leads to more
continuous SFHs by preventing large-scale oscillations in the SFR
(""breathing""), and creates low density holes in the ISM, in agreement with
observations of dIrrs. Our general conclusion is that rotation has a
significant influence on the evolution and appearance of dwarf galaxies, and we
suggest angular momentum as a second parameter (after galaxy mass as the
dominant parameter) in dwarf galaxy evolution. Angular momentum differentiates
between SF modes, making our fast rotating models qualitatively resemble dIrrs,
which does not seem possible without rotation.
",human
2,"We investigated the relationship between racial candour and the WPA slave narratives, a collection of testimonies that provide a unique window into the experiences of enslaved individuals in the United States. Through a quantitative content analysis of 250 narratives, we found that African American writers employed various strategies to convey their experiences, including coded language, subtle hints, and implicit narratives, in an effort to avoid detection by white authorities and maintain their freedom. Our results indicate that these strategies were often successful, with only 12% of narratives explicitly stating the owner's name and 25% explicitly stating the location of the plantation. Furthermore, we discovered that the level of candour varied across different narrative types, with personal narratives exhibiting higher levels of explicitness compared to collective narratives. Our analysis also reveals that the use of coded language and implicit narratives was more prevalent among narratives written by women and older individuals. These findings contribute to a deeper understanding of the complexities of racial candour in the WPA slave narratives and highlight the agency and resourcefulness of African American writers in navigating the oppressive social context of the time.",machine
3,"  We conduct a 350 micron dust continuum emission survey of 17 dust-obscured
galaxies (DOGs) at z = 0.05-0.08 with the Caltech Submillimeter Observatory
(CSO). We detect 14 DOGs with S_350 = 114-650 mJy and S/N > 3. By including two
additional DOGs with submillimeter data in the literature, we are able to study
dust contents for a sample of 16 local DOGs that consists of 12 bump and 4
power-law types. We determine their physical parameters with a two-component
modified blackbody function model. The derived dust temperatures are in the
range 57-122 K and 22-35 K for the warm and cold dust components, respectively.
The total dust mass and the mass fraction of warm dust component are
3-34$\times10^{7} M_\odot$ and 0.03-2.52%, respectively. We compare these
results with those of other submillimeter-detected infrared luminous galaxies.
The bump DOGs, the majority of the DOG sample, show similar distributions of
dust temperatures and total dust mass to the comparison sample. The power-law
DOGs show a hint of smaller dust masses than other samples, but need to be
tested with a larger sample. These findings support that the reason why DOGs
show heavy dust obscuration is not an overall amount of dust content, but
probably the spatial distribution of dust therein.
",human
4,"This study investigates the application of adjusted plus-minus statistics for National Hockey League (NHL) players, incorporating advanced metrics such as goals, shots, Fenwick, and Corsi. The objective of this research is to develop a more comprehensive and accurate measure of a player's on-ice performance, taking into account the complex interactions between various on-ice events.  The methodology employed in this study involves utilizing ridge regression analysis to adjust the traditional plus-minus statistic for the impact of goals, shots, Fenwick, and Corsi on a player's performance. The data used in this study consists of NHL player performance data from the 2015-2016 season, covering 1,032 games played by 335 players. The results of the ridge regression analysis reveal significant correlations between adjusted plus-minus and goals, shots, Fenwick, and Corsi, indicating that these metrics can provide valuable insights into a player's on-ice performance.  Key findings from this study include the identification of players with high adjusted plus-minus values who also possess high goals, shots, Fenwick, and Corsi metrics, suggesting that these players are highly effective in creating scoring opportunities. Conversely, players with low adjusted plus-minus values often have lower goals, shots, Fenwick, and Corsi metrics, indicating that they struggle to generate scoring chances. The study's results have important implications for NHL teams and analysts seeking to evaluate player performance and make informed decisions regarding roster construction and player evaluation.",machine
5,"This study explores the HI emission and absorption characteristics in the nearby gas-rich galaxy NGC 5156, with a focus on the detection of intervening absorption features. Utilizing data from the Lane et al. survey and follow-up observations using the Green Bank Telescope and the Very Large Array, we aimed to better understand the interstellar medium dynamics and the structures of gas-rich galaxies. Our methodology involved a multiscale examination of HI profiles and the identification of absorption features across various line-of-sight measurements.   Our analysis revealed significant HI emission from NGC 5156, accompanied by distinct absorption signatures consistent with intervening gas clouds. We characterized the physical conditions of the absorbing gas, finding evidence for turbulence and complex kinematics within the galaxy’s interstellar medium. The detection of these absorption features not only supports the existence of ongoing star formation processes within the galaxy but also suggests interactions with its surrounding environment.  The key findings indicate that NGC 5156 presents a rich HI morphology, revealing layers of gas that may be influenced by gravitational interactions with nearby galaxies. This work contributes to a deeper understanding of gas dynamics in nearby galaxies and highlights the importance of studying HI emissions and absorptions to unravel the complexities of galactic evolution. In conclusion, our findings demonstrate that observations of HI in both emission and absorption are crucial for advancing our knowledge of the interstellar medium in gas-rich galaxies.",machine
6,"  Aims: The iron abundance gradient in the Galactic stellar disk provides
fundamental constraints on the chemical evolution of this important Galaxy
component. However the spread around the mean slope is, at fixed Galactocentric
distance, larger than estimated uncertainties. Methods: To provide quantitative
constraints on these trends we adopted iron abundances for 265 classical
Cepheids (more than 50% of the currently known sample) based either on
high-resolution spectra or on photometric metallicity indices. Homogeneous
distances were estimated using near-infrared Period-Luminosity relations. The
sample covers the four disk quadrants and their Galactocentric distances range
from ~5 to ~17 kpc. Results: A linear regression over the entire sample
provides an iron gradient of -0.051+/-0.004 dex/kpc. The above slope agrees
quite well, within the errors, with previous estimates based either on Cepheids
or on open clusters covering similar Galactocentric distances. However, once we
split the sample in inner (Rg < 8 kpc) and outer disk Cepheids we found that
the slope (-0.130+/-0.015 dex/kpc) in the former region is ~3 times steeper
than the slope in the latter one (-0.042+/-0.004 dex/kpc). We found that in the
outer disk the radial distribution of metal-poor (MP, [Fe/H]<-0.02 dex) and
metal-rich (MR) Cepheids across the four disk quadrants does not show a clear
trend when moving from the innermost to the external disk regions. We also
found that the relative fractions of MP and MR Cepheids in the 1st and in the
3rd quadrant differ at 8 sigma (MP) and 15 sigma (MR) level.
",human
7,"The analysis of Coronal Mass Ejections (CMEs) plays a crucial role in understanding the physics behind solar activities and their impacts on Earth. In this study, we focus on the fitting and reconstruction of thirteen simple CMEs observed between 1996 and 2006 using the Soft X-ray Telescope (SXT) on the Hinode spacecraft. Our primary objective is to improve the accuracy of CME characterization and enable better space weather prediction.  To obtain the best-fit CME models, we employed an iterative algorithm based on a two-step procedure (i) estimating the initial position, velocity, and width based on the CME morphology in SXT images, and (ii) refining the parameters by comparing model predictions to SXT data through a least-squares minimization technique. The obtained CME models served as the basis for further reconstruction, which included the calculation of the CME's magnetic field structure and mass distribution using the magnetic field estimation method and Hydrocode simulations, respectively.  The analysis of the thirteen CMEs revealed diverse morphologies, with some displaying a dense core surrounded by a cavity and others exhibiting an expanding fan structure. The fitted CME models accurately captured the morphological features, allowing us to assess their evolution and interaction with the ambient solar wind. Moreover, we were able to estimate the total masses, densities, and dynamic pressures for each CME, providing crucial information for space weather forecasting. Overall, our results demonstrate the significance of using accurate CME models for better understanding the solar atmosphere dynamics, predicting space weather impacts on Earth, and improving the performance of spacecraft and satellites.",machine
8,"This study presents a direct imaging of the water snow line at the time of planet formation using two ALMA continuum bands. The water snow line is a critical boundary in the formation of planetary systems, marking the transition from gas to solid particles in the disk surrounding a newly formed star. Understanding the location and characteristics of this boundary is essential for interpreting the formation and evolution of planetary systems.  The objective of this research is to directly image the water snow line at the time of planet formation using the Atacama Large Millimeter/submillimeter Array (ALMA) continuum bands. We utilized the ALMA 12 and 24 GHz continuum bands to map the distribution of water and solid particles in the disk of a protostellar system. By combining the two continuum bands, we were able to separate the water and solid particles, allowing for a more accurate determination of the water snow line.  The key findings of this study reveal that the water snow line is a complex and dynamic feature, with a location that varies depending on the specific conditions of the protostellar system. We observed a water snow line that is located at a distance of approximately 20 AU from the protostar, with a width of approximately 5 AU. The location and width of the water snow line are consistent with previous models of planetary system formation.  The results of this study provide new insights into the formation and evolution of planetary systems, highlighting the importance of the water snow line in determining the location and composition of planets. The direct imaging of the water snow line using ALMA continuum bands offers a new tool for understanding the early stages of planetary system formation and the formation of planets.",machine
9,"  We clarify the confusion in a recent paper by Aurenche, Zakharov and Zaraket
(AZZ) \cite{azz} over the procedure and region of validity of the collinear
approximation in the twist expansion approach to induced gluon emission in
deeply inelastic scattering (DIS) off a nucleus target. We point out that, in
this approach to the semi-inclusive spectrum, the transverse momentum
$\vec\ell_\perp$ of the induced gluon must be fixed in the collinear expansion
in the transverse momentum $\vec k_\perp$ of the initial partons, therefore the
result is valid for $<k_\perp^2> \ll \ell_\perp^2 \ll Q^2$. In the twist-four
contribution, one can single out the double-hard term corresponding to
collinear quark-gluon Compton scattering which can be calculated independently
of the collinear expansion approach. We will discuss the connection between the
collinear approximation in the twist expansion approach and the small $k_T$
approximation of the results in the Light-Cone Path Integral (LCPI) and
Gyulassy-Levai-Vitev (GLV) opacity expansion approach. We point out the
misconstrued variable change by AZZ before the $k_T$ expansion in LCPI and
opacity expansion approach, without which one obtains the same result for the
induced gluon spectrum under collinear approximation as in the twist expansion
approach. We also show that corrections beyond the collinear approximation to
the transverse momentum integrated gluon spectrum within the static potential
model in the GLV approach give rise to a logarithmic factor difference from the
result of collinear approximation.
",human
10,"We investigate the dynamics of bubble behavior in microchannels, focusing on the interplay between inertial and capillary migration forces. Our study addresses the challenges associated with bubble transport in microfluidic systems, where precise control of fluid flow is essential for various applications, including chemical analysis and biomedical devices. We employed a combination of high-speed imaging and numerical simulations to analyze the migration patterns of bubbles in rectangular and circular microchannels under varying flow conditions.  Our results indicate that capillary forces dominate bubble behavior at low flow rates, leading to formation and stabilization of bubbles at specific locations within the channels. Conversely, as the flow rate increases, inertial forces become more significant, causing bubbles to experience distinct trajectories and behaviors, including oscillations and instability. We observe a critical transition point where the balance between these forces dictates the bubble's movement, suggesting the potential for enhancing or controlling bubble transport through tailored channel designs or flow adjustments.  We propose a theoretical framework that captures the dynamics of bubble migration by integrating force balance equations with empirical observations. Our findings contribute to a deeper understanding of multiphase flow dynamics in confined geometries and pave the way for innovative microfluidic applications. This research lays the groundwork for future studies aimed at manipulating bubble dynamics through strategic engineering, potentially leading to advancements in fields such as drug delivery, diagnostics, and microreactor design.",machine
